,id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
1779,0ec0a0e0f096ad4766226f1a5a938750,krakow,blockOfFlats,50.0,2.0,,5.0,2022.0,50.0559752,19.9997995,4.38,0.0,1.271,1.782,0.949,0.956,0.9,2.11,0.618,condominium,,premium,yes,no,yes,no,no,3499
1780,df1ade2d45826ca463204d7754bb406e,krakow,blockOfFlats,57.0,2.0,3.0,4.0,2000.0,50.016104,19.9058054,4.94,8.0,0.716,0.392,0.266,0.079,0.348,3.223,0.255,condominium,,premium,no,yes,no,no,no,2600
1781,705a2bfc009ed7415567ae8f9ffc0691,krakow,blockOfFlats,57.0,2.0,,3.0,2002.0,50.083245,19.904388,3.95,14.0,0.208,1.088,0.061,0.262,0.388,1.34,0.375,condominium,,,no,yes,no,no,no,2900
1782,32aec0dc384666fdf2b755e31a2c3e05,krakow,blockOfFlats,38.0,2.0,8.0,11.0,1980.0,50.0598279,19.964232,1.91,13.0,0.376,0.088,0.134,0.097,0.247,0.562,0.166,condominium,,,no,yes,yes,no,no,2500
1783,6bc9c3ffd2e46c79ecc8fee161902df6,krakow,blockOfFlats,35.37,2.0,,4.0,2023.0,50.023798,19.9437258,3.52,1.0,0.324,0.649,0.608,0.702,0.537,2.193,0.652,condominium,,,yes,yes,yes,no,no,2685
1784,adbca7ce795b9013e6331ce869d28e94,krakow,apartmentBuilding,64.0,3.0,8.0,9.0,,50.0693084,19.89754666,3.31,10.0,0.342,0.233,0.546,0.33,0.091,0.445,0.231,condominium,brick,premium,yes,yes,yes,no,yes,4400
1785,6776f83e5d48273623729ba361510e68,krakow,blockOfFlats,50.0,2.0,2.0,12.0,2011.0,50.0713028,19.900395,3.25,17.0,0.129,0.163,0.351,0.277,0.226,0.438,0.145,condominium,,premium,no,yes,yes,no,no,3200
1786,3fae5387f22fbe472b55ad783ed4e91c,krakow,apartmentBuilding,56.0,3.0,5.0,5.0,2023.0,50.04517,19.99642,4.29,7.0,0.336,0.868,0.269,0.4,0.491,1.077,0.587,condominium,brick,,no,yes,yes,no,no,3500
1787,c2f3241d965712e70236fb8e9f793230,krakow,tenement,48.0,3.0,3.0,3.0,,50.0480026,19.9432904,0.88,101.0,0.19,0.115,0.466,0.207,0.027,0.316,0.082,condominium,brick,premium,yes,no,no,no,no,2500
1788,f2a2d1f0c47d5dc7021e24aa987c3541,krakow,,50.0,2.0,1.0,2.0,,50.06671,19.87685,4.58,7.0,0.765,1.476,0.192,1.366,0.141,1.452,0.316,condominium,,,no,yes,no,no,no,3700
1789,2bb0b414d1647ee79ab5f16fee20c39b,krakow,tenement,33.0,1.0,1.0,2.0,1875.0,50.0569602,19.9404593,0.23,112.0,0.173,0.772,0.331,0.252,0.103,0.328,0.242,condominium,brick,premium,no,no,no,no,no,2300
